race_name,ppt_gender,distance_miles,date,med_time
Big Foot Trail Run,M,3.11,2023-06-17,0.5911111111111111
Big Foot Trail Run,M,6.21,2019-06-22,1.0783333333333334
Big Foot Trail Run,M,6.21,2020-06-20,1.0872222222222223
Big Foot Trail Run,M,6.21,2021-06-19,1.1638888888888888
Big Foot Trail Run,M,6.21,2022-06-18,1.1005555555555555
Big Foot Trail Run,M,6.21,2023-06-17,1.0927777777777776
Birds Hill Trail Series v2,F,3.1,2022-06-30,0.5714444444444443
Birds Hill Trail Series v2,F,3.1,2023-06-29,0.5841868055555556
Birds Hill Trail Series v2,F,4.97,2022-06-30,0.9404166666666666
Birds Hill Trail Series v2,F,8.08,2022-06-30,1.4447222222222222
Birds Hill Trail Series v2,F,8.08,2023-06-29,1.4609797222222223
Birds Hill Trail Series v2,M,3.1,2022-06-30,0.4469958333333333
Birds Hill Trail Series v2,M,3.1,2023-06-29,0.4475197222222222
Birds Hill Trail Series v2,M,4.97,2022-06-30,0.7322222222222222
Birds Hill Trail Series v2,M,8.08,2022-06-30,1.2427777777777778
Birds Hill Trail Series v2,M,8.08,2023-06-29,1.1862702777777778
Bishop High Sierra Ultras,F,3.73,2019-06-01,0.5969444444444444
Bishop High Sierra Ultras,F,3.73,2021-05-22,0.9711111111111111
Bishop High Sierra Ultras,F,3.73,2022-05-21,0.8541666666666666
Bishop High Sierra Ultras,F,3.73,2023-05-20,0.8552777777777778
Bishop High Sierra Ultras,F,20.0,2019-06-01,4.3244444444444445
Bishop High Sierra Ultras,F,20.0,2021-05-22,5.121666666666667
Bishop High Sierra Ultras,F,20.0,2022-05-21,5.260277777777778
Bishop High Sierra Ultras,F,20.0,2023-05-20,5.029027777777778
Bishop High Sierra Ultras,F,31.07,2019-06-01,8.674722222222222
Bishop High Sierra Ultras,F,34.18,2021-05-22,7.873055555555555
Bishop High Sierra Ultras,F,34.18,2022-05-21,7.767777777777778
Bishop High Sierra Ultras,F,34.18,2023-05-20,8.34138888888889
Bishop High Sierra Ultras,F,50.0,2019-06-01,13.937222222222223
Bishop High Sierra Ultras,F,50.0,2021-05-22,12.999861111111109
Bishop High Sierra Ultras,F,50.0,2022-05-21,13.484722222222222
Bishop High Sierra Ultras,F,50.0,2023-05-20,13.460277777777778
Bishop High Sierra Ultras,F,62.14,2019-06-01,14.826111111111112
Bishop High Sierra Ultras,F,62.14,2021-05-22,15.618055555555555
Bishop High Sierra Ultras,F,62.14,2022-05-21,16.594722222222224
Bishop High Sierra Ultras,F,62.14,2023-05-20,15.47277777777778
Bishop High Sierra Ultras,M,3.73,2019-06-01,0.48333333333333334
Bishop High Sierra Ultras,M,3.73,2021-05-22,0.6766666666666666
Bishop High Sierra Ultras,M,3.73,2022-05-21,1.2580555555555555
Bishop High Sierra Ultras,M,3.73,2023-05-20,0.886111111111111
Bishop High Sierra Ultras,M,20.0,2019-06-01,4.288888888888889
Bishop High Sierra Ultras,M,20.0,2021-05-22,4.153611111111111
Bishop High Sierra Ultras,M,20.0,2022-05-21,4.745555555555555
Bishop High Sierra Ultras,M,20.0,2023-05-20,4.205555555555555
Bishop High Sierra Ultras,M,31.07,2019-06-01,7.226111111111111
Bishop High Sierra Ultras,M,34.18,2021-05-22,7.377222222222222
Bishop High Sierra Ultras,M,34.18,2022-05-21,7.058333333333334
Bishop High Sierra Ultras,M,34.18,2023-05-20,7.4025
Bishop High Sierra Ultras,M,50.0,2019-06-01,13.613888888888889
Bishop High Sierra Ultras,M,50.0,2021-05-22,11.634444444444444
Bishop High Sierra Ultras,M,50.0,2022-05-21,12.611805555555556
Bishop High Sierra Ultras,M,50.0,2023-05-20,13.112777777777778
Bishop High Sierra Ultras,M,62.14,2019-06-01,15.790277777777781
Bishop High Sierra Ultras,M,62.14,2021-05-22,14.581944444444444
Bishop High Sierra Ultras,M,62.14,2022-05-21,15.158888888888887
Bishop High Sierra Ultras,M,62.14,2023-05-20,14.010555555555555
